OBJECTID,SUBCOUNTY_NAME,DISTRICT_NAME,POP,Area,S_Yield_Ha,M_Yield_Ha,Crop_Area_Ha,S_Area_Ha,M_Area_Ha,S_Prod_Tot,M_Prod_Tot,S_Prod_Per_Capita,M_Prod_Per_Capita,Land_Use_Efficiency,DPOP,DArea,DCrop_Area_Ha,District Yield,District Crop Area,District Prod
928,NORTHERN DIVISION,MOROTO,7161,2738777,131.9776979,241.53842680000002,0.322315707,0.130940756,0.19137495100000002,17.28125956,46.22440465,0.0024132466918028207,0.006455020897919285,1.1768599889658778e-05,127811,3570160948,5954.814047999999,483,5931.799381999999,1029412
929,SOUTHERN DIVISION,MOROTO,3272,2121209,114.7955689,0.0,0.17139046100000002,0.17139046100000002,0.0,19.67486547,0.0,0.006013100693765281,0.0,8.079847907490493e-06,127811,3570160948,5954.814047999999,483,5931.799381999999,1029412
978,LOREGAE,NAKAPIRIPIRIT,26644,928683431,384.256293,1114.593607,5759.618906000001,4622.491870000001,864.1105686000001,1776221.59,963132.1158,66.66497485362558,36.14818029575139,0.0006201918451154106,146780,4216323900,26372.69849,1620,25663.121624,14970688
979,NAKAPIRIPIRIT TOWN COUNCIL,NAKAPIRIPIRIT,1418,4673094,482.4387931,1257.802716,29.14576036,1.3399191590000001,27.79576662,646.428982,34961.59076,0.4558737531734838,24.655564710860364,0.0006236930042494331,146780,4216323900,26372.69849,1620,25663.121624,14970688
980,NAMALU,NAKAPIRIPIRIT,25905,553067364,560.3130702999999,1325.254872,5793.5076229999995,2197.572106,3293.74946,1231328.374,4365057.517,47.532459911214055,168.50250982435824,0.0010475229601506553,146780,4216323900,26372.69849,1620,25663.121624,14970688
981,KAKOMONGOLE,NAKAPIRIPIRIT,15960,312709097,398.97900510000005,1318.2619359999999,3264.534948,2791.83741,457.35760539999995,1113884.513,602917.1224,69.79226271929825,37.776762055137844,0.00104395266377556,146780,4216323900,26372.69849,1620,25663.121624,14970688
982,LOLACHAT,NAKAPIRIPIRIT,22801,642401705,334.28430180000004,1225.930541,5079.779088,4364.693411,655.2122757000001,1459048.489,803244.7393,63.99054817771151,35.22848731634578,0.0007907480706328449,146780,4216323900,26372.69849,1620,25663.121624,14970688
983,LORENGEDWAT,NAKAPIRIPIRIT,9929,435714604,188.6996119,795.7332802,2008.0681690000001,1917.576345,80.41702686,361845.9121,63990.504570000005,36.44333891630577,6.444808598046128,0.000460867767700529,146780,4216323900,26372.69849,1620,25663.121624,14970688
984,NABILATUK,NAKAPIRIPIRIT,27534,499776866,259.4541224,1066.204758,3276.653762,3156.538704,87.47454924,818976.9792,93265.78063,29.744206406624535,3.387295003631873,0.0006556233361149613,146780,4216323900,26372.69849,1620,25663.121624,14970688
1023,IRIIRI,NAPAK,46979,1030623258,229.29915730000002,873.4522414999999,5473.443674,1550.9445699999999,3840.6980810000005,355630.2829,3354666.348,7.56998409714979,71.40778535090148,0.0005310809387924758,167625,4508782023,22944.296019999998,991,22685.734946,7799792
